policy,representation,model_seed,ablation,case_id,seed,object_count,condition,layout_mode,success,bilateral_contact,stable_lift,wrong_object_stable_grasp,dropped,placement,ik_failure,physics_failure,steps,termination_reason,physics_hash,initial_state_hash,transport_progress,transport_progress_rate,premature_open
graph_seed_0,graph,0,none,id_normal:3:2200424813,2200424813,3,id_normal,normal,False,False,False,False,False,False,True,True,84,physics_failure,70071402e99722a0a17822441cba244dcb48be455d447c2a5b68840ba01275c7,8940cfbf92bf73927a0e6f65c2af7d99873fb2e19183c46ac9e3f7fede64201c,0.0,0.0,False
graph_seed_0,graph,0,none,id_normal:3:2711154976,2711154976,3,id_normal,normal,False,False,False,False,False,False,True,True,100,physics_failure,70071402e99722a0a17822441cba244dcb48be455d447c2a5b68840ba01275c7,6b2f4009b302135dd33fad7697a33f2f4057c979f560bcb0adc5e767f9430562,0.0,0.0,False
graph_seed_0,graph,0,none,count_ood:4:2726649518,2726649518,4,count_ood,normal,False,False,False,False,False,False,False,False,180,timeout,aa48439733886bd583b01221039413a8842465cf1179720858e892cb1800f5d1,3745937b86228c5de848f60c93f3037d42b1f1ce5421b992acb495aa4b2ec49a,0.0,0.0,False
graph_seed_0,graph,0,none,count_ood:4:2790569545,2790569545,4,count_ood,normal,False,False,False,False,False,False,True,True,51,physics_failure,aa48439733886bd583b01221039413a8842465cf1179720858e892cb1800f5d1,68bba6801e95c508d34050c4e8a852736a40f4831b204d709b5e995d57625df9,0.0,0.0,False
graph_seed_0,graph,0,none,count_ood:4:1601894510,1601894510,4,count_ood,normal,False,False,False,False,False,False,True,True,52,physics_failure,aa48439733886bd583b01221039413a8842465cf1179720858e892cb1800f5d1,b84ba65bd8ae38fbe31ef5082d295b49e81a994d5a2f26e6dd389410b1015cca,0.0,0.0,False
graph_seed_0,graph,0,none,count_ood:4:793820196,793820196,4,count_ood,normal,False,False,False,False,False,False,True,True,42,physics_failure,aa48439733886bd583b01221039413a8842465cf1179720858e892cb1800f5d1,87199d98a005165bd74129e0a5d553bd4c720d2606af0bc54df081558f2828d4,0.0,0.0,False
graph_seed_0,graph,0,none,count_ood:4:3677147890,3677147890,4,count_ood,normal,False,False,False,False,False,False,True,True,44,physics_failure,aa48439733886bd583b01221039413a8842465cf1179720858e892cb1800f5d1,36711e5fcf0c2a1b276205e942fd1a047a749c9512c7e1603923f4e1eab927e6,0.0,0.0,False
graph_seed_0,graph,0,none,count_ood:5:73940029,73940029,5,count_ood,normal,False,False,False,False,False,False,True,True,48,physics_failure,7b1d1f028bd64e4e70b4be9244c4f91421732bd9e1ebfcdce2ebdedb44736588,7ff6bdeb8b3e2541ee70b5ec9f2d1577ba239594ef9d0f6124344c07ab5857d2,0.0,0.0,False
graph_seed_0,graph,0,none,count_ood:5:511451920,511451920,5,count_ood,normal,False,False,False,False,False,False,True,True,93,physics_failure,7b1d1f028bd64e4e70b4be9244c4f91421732bd9e1ebfcdce2ebdedb44736588,e93f10cfa528f56e52ace9c2d962d2fcba8bd758c6535d8dcc52b8648d493643,0.0,0.0,False
graph_seed_0,graph,0,none,count_ood:5:477121943,477121943,5,count_ood,normal,False,False,False,False,False,False,True,True,47,physics_failure,7b1d1f028bd64e4e70b4be9244c4f91421732bd9e1ebfcdce2ebdedb44736588,b65a4c0bff1deedf74160a03c8f04963309b0a0b12fda5e7b2bbe8624f1c4ff7,0.0,0.0,False
